"Key","SourceString"
"JumpClimbHoldTooltip","轻按跳跃。在障碍物附近按住可攀爬。"
"Keybinds","按键绑定"
"KeyboardMouse","键盘与鼠标"
"Laser","激光"
"LaserActivationMode","按住临时激活。双击切换开关。"
"LeanLeft","向左倾斜"
"LeanRight","向右倾斜"
"LeanType","倾斜类型"
"LeftThumbstickDeadzone","左摇杆死区"
"LeftThumbstickSensitivity","左摇杆灵敏度"
"Look","视角"
"LookUpDown","视角上下"
"LowerWeaponOrSwitchSights","降低武器 / 切换瞄准具 (ADS)"
"LowerWeaponOrSwitchSightsTooltip","将武器从预备姿势降低至低姿预备，或从高姿预备降低至预备姿势。

瞄准时 (ADS)，切换至/自附加瞄准具（如果已装备）。"
"Manual","手动"
"MouseSensitivity","鼠标灵敏度"
"MouseSmoothing","鼠标平滑"
"MouseThumbstick","鼠标 / 摇杆"
"MoveBackward","向后移动"
"MoveForward","向前移动"
"MoveLeft","向左移动"
"MoveRight","向右移动"
"Movement","移动"
"NightVisionGoggles","夜视仪"
"NightVisionRequiresHeadgear","夜视仪需要装备在角色的头饰上才能使用。"
"NoRetention","丢弃弹匣"
"Other","其他"
"PrimaryWeapon","主武器"
"Prone","匍匐"
"ProximityVoice","近距离语音。附近任何队伍的玩家都能听到。"
"ProximityVoiceVoip","近距离语音 (VOIP)"
"PumpAction","泵动"
"PumpActionInfo","发射泵动武器时的期望行为。

[自动]
每次射击后自动装填新弹药。

[手动]
射击后需要按射击键才能装填新弹药。"
"RadioVoip","电台 (VOIP)"
"RadioVoipInfo","队伍电台。向所有活跃队员发送。"
"RaiseWeaponOrSwitchSights","抬起武器 / 切换瞄准具 (ADS)"
"RaiseWeaponOrSwitchSightsTooltip","将武器从低姿预备抬起至预备姿势，或从预备姿势抬起至高姿预备。

瞄准时 (ADS)，切换至/自附加瞄准具（如果已装备）。"
"Reload","换弹"
"ResetDefaultLabel","重置为默认"
"Retention","保留弹匣"
"ReticleBrightnessDown","准星亮度减"
"ReticleBrightnessUp","准星亮度加"
"ReturnToReadyRoom","返回准备室"
"RightThumbstickDeadzone","右摇杆死区"
"RightThumbstickSensitivity","右摇杆灵敏度"
"Run","奔跑"
"RunType","奔跑类型"
"Screenshot","截图"
"SecondaryWeapon","副武器"
"Shooting","射击"
"ShowAdvancedOptions","显示高级选项"
"ShowCollision","显示：碰撞"
"Slomo10Percent","慢动作：10%"
"Slomo200Percent","慢动作：200%"
"SlomoReset100Percent","慢动作：重置（100%）"
"SpectatorMode","观察者模式"
"SpectatorNightVisionMode","观察者夜视模式"
"SprintSteadyAimAds","冲刺 / 稳定瞄准 (ADS)"
"StanceDown","姿势降低"
"StanceUp","姿势升高"
"StopFollowing","停止跟随"
"TabletMapMissionIntel","平板电脑（地图/任务信息）"
"TacLight","战术灯"
"TeamChatText","队伍聊天（文字）"
"Toggle","切换"
"ToggleHud","切换 HUD"
"TurnLeftRight","左右转动"
"WeaponAttachments","武器附件"
"ZoomInScope","放大（瞄准镜）"
"ZoomOutScope","缩小（瞄准镜）"
